case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
eikonal_tet,GaussLinear,3D,10,0.0588235,Phi_e,,0.0446989,0.0632351,,
eikonal_tet,GaussLinear,3D,20,0.030303,Phi_e,,0.00729226,0.0103284,2.73,2.73
eikonal_tet,GaussLinear,3D,40,0.0151515,Phi_e,,0.00117512,0.00165923,2.63,2.64
eikonal_tet,GaussLinear,3D,80,0.00757576,Phi_e,,0.000177735,0.000250889,2.73,2.73
eikonal_tet,GaussLinear,3D,10,0.0588235,activationTime,,0.0717872,0.283426,,
eikonal_tet,GaussLinear,3D,20,0.030303,activationTime,,0.0569251,0.250806,0.35,0.18
eikonal_tet,GaussLinear,3D,40,0.0151515,activationTime,,0.0549677,0.204314,0.05,0.30
eikonal_tet,GaussLinear,3D,80,0.00757576,activationTime,,0.0546535,0.175942,0.01,0.22
eikonal_tet,leastSquares,3D,10,0.0588235,Phi_e,,0.0375168,0.0530491,,
eikonal_tet,leastSquares,3D,20,0.030303,Phi_e,,0.00897724,0.0126615,2.16,2.16
eikonal_tet,leastSquares,3D,40,0.0151515,Phi_e,,0.00166129,0.00234973,2.43,2.43
eikonal_tet,leastSquares,3D,80,0.00757576,Phi_e,,0.000131967,0.00018704,3.65,3.65
eikonal_tet,leastSquares,3D,10,0.0588235,activationTime,,0.0260246,0.239153,,
eikonal_tet,leastSquares,3D,20,0.030303,activationTime,,0.00995789,0.152286,1.45,0.68
eikonal_tet,leastSquares,3D,40,0.0151515,activationTime,,0.00332344,0.0878126,1.58,0.79
eikonal_tet,leastSquares,3D,80,0.00757576,activationTime,,0.00119864,0.046478,1.47,0.92
